context,file_name,file_path,identifier_name,identifier_type,line_number,modified_date
"Previous lines: doc_extractor: System for extracting and analyzing documentation | pattern_recognizer: System for identifying code patterns | """" | Line: def __init__(self) -> None:",code_seed.py,code_seed.py,__init__,function,898,2025-03-28
"Previous lines: self.doc_extractor = DocumentationExtractor( | self.pattern_recognizer = PatternRecognizer( | logger.debug(""FileAnalyzer initialized with specialized analyzers"" | Line: def analyze_file(self, file_path: str) -> Dict[str, Any]:",code_seed.py,code_seed.py,analyze_file,function,913,2025-03-28
"Previous lines: 'path': str(path_obj) | 'name': path_obj.name | 'error': str(e | Line: def _guess_mime_type(self, file_path: str) -> str:",code_seed.py,code_seed.py,_guess_mime_type,function,1020,2025-03-28
"Previous lines: return 'application/octet-stream | # Defaul | return 'application/octet-stream | Line: def _is_text_file(self, mime_type: str) -> bool:",code_seed.py,code_seed.py,_is_text_file,function,1070,2025-03-28
"Previous lines: 'application/json' | 'application/xml' | 'application/x-yaml' | Line: def _hash_content(self, content: str) -> str:",code_seed.py,code_seed.py,_hash_content,function,1092,2025-03-28
"Previous lines: SHA-256 hash of content | """" | return hashlib.sha256(content.encode('utf-8')).hexdigest( | Line: def _extract_file_markers(self, content: str) -> Dict[str, List[str]]:",code_seed.py,code_seed.py,_extract_file_markers,function,1108,2025-03-28
"Previous lines: marker_text = match.group(1) if match.groups() else match.group(0 | markers[marker_type].append(marker_text.strip() | return dict(markers | Line: def _flatten_identifiers(self, identifiers: Dict[str, List[Dict[str, Any]]]) -> List[Dict[str, Any]]:",code_seed.py,code_seed.py,_flatten_identifiers,function,1145,2025-03-28
"Previous lines: 'context': identifier.get('context', '' | flattened.append(record | return flattene | Line: def _flatten_documentation(self, documentation: Dict[str, List[Dict[str, Any]]]) -> List[Dict[str, Any]]:",code_seed.py,code_seed.py,_flatten_documentation,function,1175,2025-03-28
"Previous lines: file_analyzer: System for analyzing individual files | relationship_map: Network of relationships between files | """" | Line: def __init__(self) -> None:",code_seed.py,code_seed.py,__init__,function,1219,2025-03-28
"Previous lines: # Track inaccessible directorie | self.inaccessible_dirs = [ | logger.debug(""DirectoryAnalyzer initialized with file analyzer"" | Line: def scan_directory(self, directory: str, exclude_patterns: List[str] = None) -> Dict[str, Any]:",code_seed.py,code_seed.py,scan_directory,function,1238,2025-03-28
"Previous lines: logger.info(f""Completed directory scan of {directory}"" | logger.info(f""Processed {dir_info['file_count']} files in {dir_info['elapsed_seconds']:.2f} seconds"" | return dir_inf | Line: def _mime_to_language(self, mime_type: str) -> str:",code_seed.py,code_seed.py,_mime_to_language,function,1353,2025-03-28
"Previous lines: 'application/x-yaml': 'YAML' | 'text/x-shellscript': 'Shell Script' | return mime_map.get(mime_type, mime_type | Line: def _update_relationship_map(self, file_info: Dict[str, Any], current_dir: str, base_dir: str) -> None:",code_seed.py,code_seed.py,_update_relationship_map,function,1383,2025-03-28
"Previous lines: self.relationship_map[other_info].add(file_path | except Exception as e | logger.debug(f""Error updating relationship map for {file_path}: {e}"" | Line: def _get_relationship_data(self) -> Dict[str, List[str]]:",code_seed.py,code_seed.py,_get_relationship_data,function,1425,2025-03-28
"Previous lines: for file_path, related_files in self.relationship_map.items() | relationships[file_path] = list(related_files | return relationship | Line: def _extract_pattern_summary(self) -> Dict[str, Any]:",code_seed.py,code_seed.py,_extract_pattern_summary,function,1444,2025-03-28
"Previous lines: Attributes | output_dir: Directory for output files | """" | Line: def __init__(self, output_dir: str = None) -> None:",code_seed.py,code_seed.py,__init__,function,1479,2025-03-28
"Previous lines: # Ensure output directory exist | os.makedirs(self.output_dir, exist_ok=True | logger.debug(f""OutputManager initialized with output directory: {self.output_dir}"" | Line: def write_csv(self, data: List[Dict[str, Any]], filename: str, max_field_length: int = 32000) -> str:",code_seed.py,code_seed.py,write_csv,function,1498,2025-03-28
"Previous lines: writer.writerow(processed_record | logger.info(f""Wrote {len(data)} records to {output_path}"" | return output_pat | Line: def generate_file_csv(self, directory_data: Dict[str, Any], filename: str = ""codeseed_files.csv"") -> str:",code_seed.py,code_seed.py,generate_file_csv,function,1563,2025-03-28
"Previous lines: record[f'marker_{marker}_sample'] = instances[0 | file_records.append(record | return self.write_csv(file_records, filename | Line: def generate_identifier_csv(self, directory_data: Dict[str, Any],",code_seed.py,code_seed.py,generate_identifier_csv,function,1616,2025-03-28
"Previous lines: 'modified_date': file_info.get('modified_date', '') | identifier_records.append(record | return self.write_csv(identifier_records, filename | Line: def generate_documentation_csv(self, directory_data: Dict[str, Any],",code_seed.py,code_seed.py,generate_documentation_csv,function,1656,2025-03-28
"Previous lines: directory_analyzer: System for analyzing directory structures | output_manager: System for generating output files | """" | Line: def __init__(self, output_dir: str = None) -> None:",code_seed.py,code_seed.py,__init__,function,1714,2025-03-28
"Previous lines: self.directory_analyzer = DirectoryAnalyzer( | self.output_manager = OutputManager(output_dir | logger.debug(""CodeSeed initialized with component systems"" | Line: def analyze_directory(self, directory: str,",code_seed.py,code_seed.py,analyze_directory,function,1731,2025-03-28
"Previous lines: output_files['documentation_csv'] = documentation_cs | logger.info(f""Analysis complete. Output files generated in: {self.output_manager.output_dir}"" | return output_file | Line: def analyze_file(self, file_path: str) -> Dict[str, Any]:",code_seed.py,code_seed.py,analyze_file,function,1776,2025-03-28
Previous lines: # ===================================================================== | # Command-Line Interfac | # ====================================================================== | Line: def main():,code_seed.py,code_seed.py,main,function,1796,2025-03-28
Previous lines: # ===================================================================== | # SeedCore: Fundamental Components of the Fores | # ====================================================================== | Line: class IdentifierTracker:,code_seed.py,code_seed.py,IdentifierTracker,class,87,2025-03-28
"Previous lines: 'relationship_count': len(self.relationship_map.get(identifier['name'], set()) | identifier_data.append(record | return identifier_dat | Line: class DocumentationExtractor:",code_seed.py,code_seed.py,DocumentationExtractor,class,403,2025-03-28
Previous lines: record[f'marker_{marker_type}'] = '; '.join(instances | doc_data.append(record | return doc_dat | Line: class PatternRecognizer:,code_seed.py,code_seed.py,PatternRecognizer,class,669,2025-03-28
Previous lines: # ===================================================================== | # SeedMapper: Core Analysis Engin | # ====================================================================== | Line: class FileAnalyzer:,code_seed.py,code_seed.py,FileAnalyzer,class,884,2025-03-28
"Previous lines: 'has_markers': bool(doc.get('markers', {}) | flattened.append(record | return flattene | Line: class DirectoryAnalyzer:",code_seed.py,code_seed.py,DirectoryAnalyzer,class,1205,2025-03-28
"Previous lines: category = pattern.get('category', 'other' | patterns_by_category[category].append(pattern | return dict(patterns_by_category | Line: class OutputManager:",code_seed.py,code_seed.py,OutputManager,class,1467,2025-03-28
Previous lines: # ===================================================================== | # SeedCore: Main AP | # ====================================================================== | Line: class CodeSeed:,code_seed.py,code_seed.py,CodeSeed,class,1701,2025-03-28
"Previous lines: syntax or dependencies, CodeSeed maps the thoughtflows embedded in code throug | a rich metadata extraction process. | This tool embodies a forest-first approach to code analysis | Line: - Trees = Individual files with unique growth patterns",code_seed.py,code_seed.py,Trees,variable,11,2025-03-28
Previous lines: a rich metadata extraction process. | This tool embodies a forest-first approach to code analysis | - Trees = Individual files with unique growth pattern | Line: - Roots = Core dependencies and foundations,code_seed.py,code_seed.py,Roots,variable,12,2025-03-28
Previous lines: This tool embodies a forest-first approach to code analysis | - Trees = Individual files with unique growth pattern | - Roots = Core dependencies and foundation | Line: - Canopy = Interface layers that interact with users,code_seed.py,code_seed.py,Canopy,variable,13,2025-03-28
Previous lines: - Trees = Individual files with unique growth pattern | - Roots = Core dependencies and foundation | - Canopy = Interface layers that interact with user | Line: - Seeds = Reusable patterns and concepts that can spread,code_seed.py,code_seed.py,Seeds,variable,14,2025-03-28
Previous lines: - Roots = Core dependencies and foundation | - Canopy = Interface layers that interact with user | - Seeds = Reusable patterns and concepts that can sprea | Line: - Forest Floor = Shared resources and utilities,code_seed.py,code_seed.py,Floor,variable,15,2025-03-28
"Previous lines: """""" | # Configure logging to track analysis proces | logging.basicConfig | Line: level=logging.INFO,",code_seed.py,code_seed.py,level,variable,76,2025-03-28
"Previous lines: # Configure logging to track analysis proces | logging.basicConfig | level=logging.INFO | Line: format='%(asctime)s - %(name)s - %(levelname)s - %(message)s',",code_seed.py,code_seed.py,format,variable,77,2025-03-28
Previous lines: logging.basicConfig | level=logging.INFO | format='%(asctime)s - %(name)s - %(levelname)s - %(message)s' | Line: datefmt='%Y-%m-%d %H:%M:%S',code_seed.py,code_seed.py,datefmt,variable,78,2025-03-28
Previous lines: level=logging.INFO | format='%(asctime)s - %(name)s - %(levelname)s - %(message)s' | datefmt='%Y-%m-%d %H:%M:%S | Line: logger = logging.getLogger('codeseed'),code_seed.py,code_seed.py,logger,variable,80,2025-03-28
"Previous lines: used throughout the analysis process | """" | # Language-specific identifier pattern | Line: self.patterns = {",code_seed.py,code_seed.py,patterns,variable,112,2025-03-28
"Previous lines: } | # HTML identifier pattern | 'html': | Line: 'id': r'id=[\'""]([^\'""]*)[\'""]',",code_seed.py,code_seed.py,id,variable,138,2025-03-28
"Previous lines: # HTML identifier pattern | 'html': | 'id': r'id=[\'""]([^\'""]*)[\'""]' | Line: 'class': r'class=[\'""]([^\'""]*)[\'""]',",code_seed.py,code_seed.py,class,variable,139,2025-03-28
"Previous lines: Returns | Dictionary mapping identifier types to lists of found identifiers | """" | Line: language = self._determine_language(file_type)",code_seed.py,code_seed.py,language,variable,185,2025-03-28
"Previous lines: Dictionary mapping identifier types to lists of found identifiers | """" | language = self._determine_language(file_type | Line: patterns = self.patterns.get(language, {})",code_seed.py,code_seed.py,patterns,variable,186,2025-03-28
"Previous lines: identifiers: Dict[str, List[Dict[str, Any]]] = defaultdict(list | # Apply each pattern for the detected languag | for id_type, pattern in patterns.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE)",code_seed.py,code_seed.py,matches,variable,193,2025-03-28
Previous lines: # Extract and store each match with its contex | for match in matches | # Handle special cases like parameters that need parsin | Line: if id_type == 'parameter':,code_seed.py,code_seed.py,id_type,variable,198,2025-03-28
Previous lines: for match in matches | # Handle special cases like parameters that need parsin | if id_type == 'parameter' | Line: param_str = match.group(1).strip(),code_seed.py,code_seed.py,param_str,variable,199,2025-03-28
"Previous lines: param_str = match.group(1).strip( | if param_str | # Split and process individual parameter | Line: params = [p.strip() for p in param_str.split(',')]",code_seed.py,code_seed.py,params,variable,202,2025-03-28
"Previous lines: params = [p.strip() for p in param_str.split(',') | for param in params | # Handle default values, type hints, etc | Line: param_name = param.split('=')[0].split(':')[0].strip()",code_seed.py,code_seed.py,param_name,variable,205,2025-03-28
Previous lines: param_name = param.split('=')[0].split(':')[0].strip( | if param_name and param_name != 'self' | # Create an identifier recor | Line: identifier = {,code_seed.py,code_seed.py,identifier,variable,208,2025-03-28
Previous lines: identifiers['parameter'].append(identifier | else | # Standard identifier extractio | Line: id_name = match.group(1),code_seed.py,code_seed.py,id_name,variable,218,2025-03-28
Previous lines: else | # Standard identifier extractio | id_name = match.group(1 | Line: identifier = {,code_seed.py,code_seed.py,identifier,variable,219,2025-03-28
"Previous lines: Language key for pattern lookup | """" | # Map common file types/extensions to language pattern set | Line: type_to_language = {",code_seed.py,code_seed.py,type_to_language,variable,249,2025-03-28
"Previous lines: Context string surrounding the identifier | """" | # Find the start and end of the line containing the matc | Line: line_start = content.rfind('\n', 0, match.start()) + 1",code_seed.py,code_seed.py,line_start,variable,291,2025-03-28
"Previous lines: """" | # Find the start and end of the line containing the matc | line_start = content.rfind('\n', 0, match.start()) + | Line: line_end = content.find('\n', match.end())",code_seed.py,code_seed.py,line_end,variable,292,2025-03-28
"Previous lines: # Find the start and end of the line containing the matc | line_start = content.rfind('\n', 0, match.start()) + | line_end = content.find('\n', match.end() | Line: if line_end == -1:",code_seed.py,code_seed.py,line_end,variable,293,2025-03-28
"Previous lines: line_start = content.rfind('\n', 0, match.start()) + | line_end = content.find('\n', match.end() | if line_end == -1 | Line: line_end = len(content)",code_seed.py,code_seed.py,line_end,variable,294,2025-03-28
Previous lines: if line_end == -1 | line_end = len(content | # Get the content of the lin | Line: line = content[line_start:line_end].strip(),code_seed.py,code_seed.py,line,variable,297,2025-03-28
Previous lines: # Get the content of the lin | line = content[line_start:line_end].strip( | # Check for comments on the same lin | Line: comment_start = line.find('#') | Comment: #'),code_seed.py,code_seed.py,comment_start,variable,300,2025-03-28
Previous lines: # Check for comments on the same lin | comment_start = line.find('#' | if comment_start != -1 | Line: inline_comment = line[comment_start:].strip(),code_seed.py,code_seed.py,inline_comment,variable,302,2025-03-28
"Previous lines: if comment_start != -1 | inline_comment = line[comment_start:].strip( | else | Line: inline_comment = """"",code_seed.py,code_seed.py,inline_comment,variable,304,2025-03-28
"Previous lines: else | inline_comment = "" | # Look for docstring or comment abov | Line: prev_lines = []",code_seed.py,code_seed.py,prev_lines,variable,307,2025-03-28
"Previous lines: inline_comment = "" | # Look for docstring or comment abov | prev_lines = [ | Line: current_pos = line_start - 2  # Start before the newline | Comment: # Start before the newline",code_seed.py,code_seed.py,current_pos,variable,308,2025-03-28
Previous lines: prev_lines = [ | current_pos = line_start - 2  # Start before the newlin | # Collect up to 3 non-empty lines abov | Line: line_count = 0,code_seed.py,code_seed.py,line_count,variable,311,2025-03-28
Previous lines: # Collect up to 3 non-empty lines abov | line_count = | while current_pos >= 0 and line_count < 3 | Line: prev_line_end = current_pos,code_seed.py,code_seed.py,prev_line_end,variable,313,2025-03-28
"Previous lines: line_count = | while current_pos >= 0 and line_count < 3 | prev_line_end = current_po | Line: prev_line_start = content.rfind('\n', 0, prev_line_end) + 1",code_seed.py,code_seed.py,prev_line_start,variable,314,2025-03-28
"Previous lines: while current_pos >= 0 and line_count < 3 | prev_line_end = current_po | prev_line_start = content.rfind('\n', 0, prev_line_end) + | Line: prev_line = content[prev_line_start:prev_line_end].strip()",code_seed.py,code_seed.py,prev_line,variable,316,2025-03-28
"Previous lines: if prev_line | prev_lines.insert(0, prev_line | line_count += | Line: current_pos = prev_line_start - 2  # Move to the next line up | Comment: # Move to the next line up",code_seed.py,code_seed.py,current_pos,variable,321,2025-03-28
Previous lines: line_count += | current_pos = prev_line_start - 2  # Move to the next line u | # Combine collected contex | Line: context = [],code_seed.py,code_seed.py,context,variable,324,2025-03-28
"Previous lines: retur | # Find related identifiers in the same scop | # (simplified: look in the same function/class or nearby | Line: scope_start = content.rfind('\n\n', 0, match.start())",code_seed.py,code_seed.py,scope_start,variable,352,2025-03-28
"Previous lines: # Find related identifiers in the same scop | # (simplified: look in the same function/class or nearby | scope_start = content.rfind('\n\n', 0, match.start() | Line: if scope_start == -1:",code_seed.py,code_seed.py,scope_start,variable,353,2025-03-28
"Previous lines: # (simplified: look in the same function/class or nearby | scope_start = content.rfind('\n\n', 0, match.start() | if scope_start == -1 | Line: scope_start = 0",code_seed.py,code_seed.py,scope_start,variable,354,2025-03-28
"Previous lines: scope_start = content.rfind('\n\n', 0, match.start() | if scope_start == -1 | scope_start = | Line: scope_end = content.find('\n\n', match.end())",code_seed.py,code_seed.py,scope_end,variable,356,2025-03-28
"Previous lines: if scope_start == -1 | scope_start = | scope_end = content.find('\n\n', match.end() | Line: if scope_end == -1:",code_seed.py,code_seed.py,scope_end,variable,357,2025-03-28
"Previous lines: scope_start = | scope_end = content.find('\n\n', match.end() | if scope_end == -1 | Line: scope_end = len(content)",code_seed.py,code_seed.py,scope_end,variable,358,2025-03-28
"Previous lines: scope_end = content.find('\n\n', match.end() | if scope_end == -1 | scope_end = len(content | Line: scope = content[scope_start:scope_end]",code_seed.py,code_seed.py,scope,variable,360,2025-03-28
"Previous lines: # Find other identifiers in this scop | for pattern_type, patterns in self.patterns.items() | for _, pattern in patterns.items() | Line: other_matches = re.finditer(pattern, scope, re.MULTILINE)",code_seed.py,code_seed.py,other_matches,variable,365,2025-03-28
"Previous lines: for _, pattern in patterns.items() | other_matches = re.finditer(pattern, scope, re.MULTILINE | for other_match in other_matches | Line: other_id = other_match.group(1)",code_seed.py,code_seed.py,other_id,variable,367,2025-03-28
"Previous lines: Returns | List of identifier records with full metadata | """" | Line: identifier_data = []",code_seed.py,code_seed.py,identifier_data,variable,384,2025-03-28
"Previous lines: for id_type, identifiers in self.contexts.items() | # Process each identifier instanc | for identifier in identifiers | Line: record = {",code_seed.py,code_seed.py,record,variable,390,2025-03-28
"Previous lines: of documentation, from formal docstrings to quick notes and TODOs | """" | # Patterns for documentation extractio | Line: self.doc_patterns = {",code_seed.py,code_seed.py,doc_patterns,variable,427,2025-03-28
"Previous lines: # HTML documentation pattern | 'html': | 'comment': r'<!--(.*?)-->' | Line: 'meta_description': r'<meta\s+name=[\'""]description[\'""]\s+content=[\'""]([^\'""]*)[\'""]'}",code_seed.py,code_seed.py,name,variable,445,2025-03-28
"Previous lines: # HTML documentation pattern | 'html': | 'comment': r'<!--(.*?)-->' | Line: 'meta_description': r'<meta\s+name=[\'""]description[\'""]\s+content=[\'""]([^\'""]*)[\'""]'}",code_seed.py,code_seed.py,content,variable,445,2025-03-28
Previous lines: 'markdown': | 'code_comment': r'<!--(.*?)-->' | # Patterns for identifying cognitive marker | Line: self.cognitive_markers = {,code_seed.py,code_seed.py,cognitive_markers,variable,458,2025-03-28
"Previous lines: Returns | Dictionary mapping documentation types to lists of extracted elements | """" | Line: language = self._determine_language(file_type)",code_seed.py,code_seed.py,language,variable,487,2025-03-28
"Previous lines: Dictionary mapping documentation types to lists of extracted elements | """" | language = self._determine_language(file_type | Line: patterns = self.doc_patterns.get(language, {})",code_seed.py,code_seed.py,patterns,variable,488,2025-03-28
"Previous lines: documentation: Dict[str, List[Dict[str, Any]]] = defaultdict(list | # Extract standard documentation based on languag | for doc_type, pattern in patterns.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE | re.DOTALL)",code_seed.py,code_seed.py,matches,variable,495,2025-03-28
"Previous lines: for doc_type, pattern in patterns.items() | matches = re.finditer(pattern, content, re.MULTILINE | re.DOTALL | for match in matches | Line: doc_content = match.group(1) if match.groups() else """"",code_seed.py,code_seed.py,doc_content,variable,498,2025-03-28
"Previous lines: matches = re.finditer(pattern, content, re.MULTILINE | re.DOTALL | for match in matches | doc_content = match.group(1) if match.groups() else "" | Line: doc_content = self._clean_doc_content(doc_content)",code_seed.py,code_seed.py,doc_content,variable,499,2025-03-28
Previous lines: if not doc_content.strip() | continu | # Create documentation recor | Line: doc_record = {,code_seed.py,code_seed.py,doc_record,variable,506,2025-03-28
"Previous lines: documentation[doc_type].append(doc_record | # Extract cognitive markers across all conten | for marker_type, pattern in self.cognitive_markers.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE | re.IGNORECASE)",code_seed.py,code_seed.py,matches,variable,517,2025-03-28
"Previous lines: for marker_type, pattern in self.cognitive_markers.items() | matches = re.finditer(pattern, content, re.MULTILINE | re.IGNORECASE | for match in matches | Line: marker_content = match.group(1) if match.groups() else match.group(0)",code_seed.py,code_seed.py,marker_content,variable,520,2025-03-28
"Previous lines: matches = re.finditer(pattern, content, re.MULTILINE | re.IGNORECASE | for match in matches | marker_content = match.group(1) if match.groups() else match.group(0 | Line: marker_record = {",code_seed.py,code_seed.py,marker_record,variable,521,2025-03-28
"Previous lines: Language key for pattern lookup | """" | # Map common file types/extensions to language pattern set | Line: type_to_language = {",code_seed.py,code_seed.py,type_to_language,variable,546,2025-03-28
"Previous lines: if not content | return "" | # Remove common indentatio | Line: lines = content.split('\n')",code_seed.py,code_seed.py,lines,variable,589,2025-03-28
Previous lines: lines = content.split('\n' | if len(lines) > 1 | # Find minimum indentation (excluding empty lines | Line: indents = [len(line) - len(line.lstrip()),code_seed.py,code_seed.py,indents,variable,592,2025-03-28
Previous lines: indents = [len(line) - len(line.lstrip()) | for line in lines[1:] if line.strip() | if indents | Line: min_indent = min(indents),code_seed.py,code_seed.py,min_indent,variable,595,2025-03-28
Previous lines: # Remove the common indentation from all lines after the firs | lines[1:] = [line[min_indent:] if line.strip() else line for line in lines[1:] | # Rejoin and normalize whitespac | Line: content = '\n'.join(lines),code_seed.py,code_seed.py,content,variable,600,2025-03-28
"Previous lines: lines[1:] = [line[min_indent:] if line.strip() else line for line in lines[1:] | # Rejoin and normalize whitespac | content = '\n'.join(lines | Line: content = re.sub(r'\s+', ' ', content)",code_seed.py,code_seed.py,content,variable,601,2025-03-28
"Previous lines: # Rejoin and normalize whitespac | content = '\n'.join(lines | content = re.sub(r'\s+', ' ', content | Line: content = content.strip()",code_seed.py,code_seed.py,content,variable,602,2025-03-28
"Previous lines: markers: Dict[str, List[str]] = defaultdict(list | # Check for each marker typ | for marker_type, pattern in self.cognitive_markers.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE | re.IGNORECASE)",code_seed.py,code_seed.py,matches,variable,623,2025-03-28
"Previous lines: for marker_type, pattern in self.cognitive_markers.items() | matches = re.finditer(pattern, content, re.MULTILINE | re.IGNORECASE | for match in matches | Line: marker_content = match.group(1) if match.groups() else match.group(0)",code_seed.py,code_seed.py,marker_content,variable,626,2025-03-28
"Previous lines: Returns | List of documentation records with full metadata | """" | Line: doc_data = []",code_seed.py,code_seed.py,doc_data,variable,644,2025-03-28
"Previous lines: for doc_type, elements in documentation.items() | # Process each documentation elemen | for element in elements | Line: record = {",code_seed.py,code_seed.py,record,variable,650,2025-03-28
"Previous lines: coding patterns, architectural approaches, and design signatures | """" | # Common code pattern templates | Line: self.code_patterns = {",code_seed.py,code_seed.py,code_patterns,variable,692,2025-03-28
Previous lines: 'assert_statement': r'assert\s+' | 'mock_setup': r'mock\s*\(' | # Counter for pattern occurrence | Line: self.pattern_frequencies = Counter(),code_seed.py,code_seed.py,pattern_frequencies,variable,730,2025-03-28
Previous lines: # Counter for pattern occurrence | self.pattern_frequencies = Counter( | # Code signature elements to identif | Line: self.signature_elements = {,code_seed.py,code_seed.py,signature_elements,variable,733,2025-03-28
"Previous lines: Returns | Dictionary mapping pattern names to occurrence counts | """" | Line: pattern_counts = Counter()",code_seed.py,code_seed.py,pattern_counts,variable,773,2025-03-28
"Previous lines: pattern_counts = Counter( | # Apply each patter | for pattern_name, pattern in self.code_patterns.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE | re.DOTALL)",code_seed.py,code_seed.py,matches,variable,777,2025-03-28
"Previous lines: # Apply each patter | for pattern_name, pattern in self.code_patterns.items() | matches = re.finditer(pattern, content, re.MULTILINE | re.DOTALL | Line: count = sum(1 for _ in matches)",code_seed.py,code_seed.py,count,variable,778,2025-03-28
"Previous lines: Returns | Nested dictionary mapping signature categories to element frequencies | """" | Line: signatures = {}",code_seed.py,code_seed.py,signatures,variable,802,2025-03-28
"Previous lines: signatures = { | # Check each signature element categor | for category, elements in self.signature_elements.items() | Line: category_counts = {}",code_seed.py,code_seed.py,category_counts,variable,806,2025-03-28
"Previous lines: for category, elements in self.signature_elements.items() | category_counts = { | for element_name, pattern in elements.items() | Line: matches = re.finditer(pattern, content, re.MULTILINE)",code_seed.py,code_seed.py,matches,variable,809,2025-03-28
"Previous lines: category_counts = { | for element_name, pattern in elements.items() | matches = re.finditer(pattern, content, re.MULTILINE | Line: count = sum(1 for _ in matches)",code_seed.py,code_seed.py,count,variable,810,2025-03-28
"Previous lines: Returns | List of pattern records with frequency data | """" | Line: pattern_data = []",code_seed.py,code_seed.py,pattern_data,variable,831,2025-03-28
"Previous lines: approach to understanding code structure and patterns | """" | # Initialize analysis component | Line: self.identifier_tracker = IdentifierTracker()",code_seed.py,code_seed.py,identifier_tracker,variable,907,2025-03-28
"Previous lines: """" | # Initialize analysis component | self.identifier_tracker = IdentifierTracker( | Line: self.doc_extractor = DocumentationExtractor()",code_seed.py,code_seed.py,doc_extractor,variable,908,2025-03-28
